YEAR,Bachelor's,High school,log_premium,pct_premium
2002,49250,30781,0.4700117511061297,60.00129950294024
2007,50836,30286,0.5179192054853594,67.85313346100494
2010,48787,28459,0.5389994289174922,71.42907340384438
2015,47897,27633,0.5500421613011248,73.33260956103227
2019,51234,30393,0.5221910554138738,68.57171059125452
2022,52307,31384,0.5108319964196593,66.66772877899567
2025,52135,30586,0.5332941203156238,70.45380239325165
